"age","workclass","education_level","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
24,"Local-gov","Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,45,"United-States","<=50K"
35,"Private","10th",6,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,70,"United-States","<=50K"
35,"State-gov","Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,38,"United-States","<=50K"
29,"Local-gov","Some-college",10,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
29,"Private","Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
41,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",">50K"
29,"Private","11th",7,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
61,"Private","HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"Canada","<=50K"
50,"Private","Assoc-voc",11,"Married-civ-spouse","Transport-moving","Husband","White","Male",3103,0,55,"United-States",">50K"
23,"Private","Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
68,"Private","Doctorate",16,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"Cuba","<=50K"
33,"Private","Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
21,"Private","Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,30,"United-States","<=50K"
23,"Private","Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,25,"United-States","<=50K"
49,"Private","HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5178,0,40,"United-States",">50K"
25,"Local-gov","HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,1719,16,"United-States","<=50K"
50,"Local-gov","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1740,48,"United-States","<=50K"
40,"Private","7th-8th",4,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,42,"Cambodia","<=50K"
31,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
30,"Private","9th",5,"Married-civ-spouse","Handlers-cleaners","Other-relative","White","Male",0,0,40,"Mexico","<=50K"
34,"Private","HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
57,"Private","HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
18,"Private","HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
47,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,65,"United-States",">50K"
27,"Private","HS-grad",9,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"Japan","<=50K"
23,"Private","Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
49,"Local-gov","Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
44,"Federal-gov","HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
35,"Self-emp-inc","Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,60,"United-States",">50K"
38,"Private","HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
35,"Private","Assoc-voc",11,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,99,"United-States","<=50K"
28,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
54,"Private","Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,55,"United-States",">50K"
41,"Self-emp-not-inc","Assoc-voc",11,"Divorced","Sales","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
50,"Private","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
37,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
38,"Private","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",7688,0,35,"China",">50K"
52,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
44,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",">50K"
22,"Private","Some-college",10,"Never-married","Other-service","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
41,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
37,"State-gov","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
22,"Private","11th",7,"Never-married","Sales","Unmarried","White","Female",0,0,30,"United-States","<=50K"
19,"Private","HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,24,"United-States","<=50K"
50,"Local-gov","Some-college",10,"Divorced","Adm-clerical","Own-child","White","Male",0,0,43,"United-States",">50K"
57,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
53,"Self-emp-not-inc","Assoc-voc",11,"Separated","Craft-repair","Not-in-family","White","Male",0,0,40,"Poland","<=50K"
40,"State-gov","Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",1506,0,40,"United-States","<=50K"
28,"Private","HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
18,"Private","10th",6,"Never-married","Sales","Other-relative","Black","Female",0,0,40,"United-States","<=50K"
28,"Private","Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Poland","<=50K"
37,"Private","HS-grad",9,"Never-married","Sales","Not-in-family","Black","Male",0,0,44,"United-States","<=50K"
50,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1672,48,"United-States","<=50K"
30,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Other","Male",0,0,40,"Mexico","<=50K"
60,"Private","7th-8th",4,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,35,"Cuba","<=50K"
42,"Private","HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
39,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
28,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Asian-Pac-Islander","Female",0,1485,40,"United-States","<=50K"
69,"Self-emp-not-inc","9th",5,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,25,"United-States","<=50K"
42,"Local-gov","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,40,"United-States",">50K"
23,"Private","5th-6th",3,"Never-married","Handlers-cleaners","Unmarried","White","Male",0,0,40,"Mexico","<=50K"
41,"Local-gov","Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,52,"United-States","<=50K"
38,"Private","HS-grad",9,"Married-civ-spouse","Exec-managerial","Other-relative","White","Male",0,0,40,"United-States",">50K"
27,"Private","HS-grad",9,"Separated","Other-service","Unmarried","White","Female",0,0,50,"United-States","<=50K"
25,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,"United-States","<=50K"
33,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,20,"United-States","<=50K"
35,"Private","Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
43,"Private","Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
44,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,"United-States","<=50K"
68,"Private","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"United-States",">50K"
24,"Private","Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
40,"Private","Bachelors",13,"Married-civ-spouse","Other-service","Wife","Asian-Pac-Islander","Female",7688,0,52,"Japan",">50K"
42,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",2885,0,40,"United-States","<=50K"
20,"Private","Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
26,"Local-gov","Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"United-States",">50K"
25,"Private","Assoc-acdm",12,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"Jamaica","<=50K"
21,"Local-gov","11th",7,"Never-married","Other-service","Own-child","Black","Male",0,0,25,"United-States","<=50K"
29,"Private","Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",">50K"
31,"Private","Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Wife","Black","Female",0,0,43,"United-States","<=50K"
59,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
50,"Private","Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"Iran","<=50K"
54,"Private","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
24,"Private","9th",5,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,40,"Dominican-Republic","<=50K"
42,"Private","Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
49,"Private","Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
41,"Private","Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States","<=50K"
19,"Private","10th",6,"Never-married","Handlers-cleaners","Own-child","White","Male",594,0,35,"United-States","<=50K"
28,"Private","Assoc-voc",11,"Never-married","Handlers-cleaners","Own-child","White","Female",0,0,40,"United-States","<=50K"
30,"Private","Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,2339,50,"United-States","<=50K"
20,"Local-gov","HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
47,"Private","Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",15024,0,40,"United-States",">50K"
54,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K"
46,"Private","Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",">50K"
39,"Federal-gov","HS-grad",9,"Never-married","Armed-Forces","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
56,"Private","11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
28,"Private","HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",2885,0,40,"United-States","<=50K"
29,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
46,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Private","HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
32,"Private","Bachelors",13,"Married-civ-spouse","Adm-clerical","Other-relative","White","Male",0,0,40,"Philippines",">50K"
48,"Private","Assoc-acdm",12,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States","<=50K"
52,"Private","Assoc-voc",11,"Married-civ-spouse","Tech-support","Husband","White","Male",5013,0,40,"United-States","<=50K"
32,"Private","HS-grad",9,"Divorced","Other-service","Not-in-family","Black","Female",0,0,16,"United-States","<=50K"
19,"Private","11th",7,"Never-married","Sales","Not-in-family","White","Male",0,0,12,"United-States","<=50K"
32,"Private","Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States","<=50K"
57,"Federal-gov","Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States",">50K"
24,"Self-emp-inc","HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
24,"Private","Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
64,"Private","Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,40,"Cuba","<=50K"
29,"Private","Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,52,"United-States","<=50K"
30,"Local-gov","Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
24,"Private","Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
44,"State-gov","Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
67,"Self-emp-not-inc","Masters",14,"Divorced","Sales","Not-in-family","Other","Male",0,0,40,"United-States","<=50K"
20,"Private","HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
58,"Private","10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
42,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
52,"Private","Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
48,"Private","Prof-school",15,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,25,"United-States","<=50K"
63,"Private","Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",7298,0,40,"United-States",">50K"
60,"Local-gov","HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
24,"Private","Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
30,"Private","9th",5,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
48,"Private","Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States",">50K"
55,"Private","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
29,"Private","HS-grad",9,"Separated","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
27,"Private","Bachelors",13,"Never-married","Exec-managerial","Other-relative","White","Male",0,0,45,"Germany","<=50K"
38,"Local-gov","Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1669,55,"United-States","<=50K"
69,"Federal-gov","Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,5,"United-States","<=50K"
50,"Private","Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",7688,0,40,"United-States",">50K"
